"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2022","113.78","115.79","115.81","112.07","64.78M","-3.01%"
"09/22/2022","117.31","117.03","118.74","116.27","54.46M","-1.04%"
"09/21/2022","118.54","122.48","123.70","118.51","57.52M","-2.99%"
"09/20/2022","122.19","123.47","124.38","121.16","47.51M","-1.98%"
"09/19/2022","124.66","122.08","124.70","121.83","46.66M","0.87%"
"09/16/2022","123.58","122.62","123.87","120.73","114.07M","-2.14%"
"09/15/2022","126.28","127.40","130.34","125.50","51.28M","-1.83%"
"09/14/2022","128.63","127.61","128.82","126.36","44.94M","1.43%"
"09/13/2022","126.82","130.86","131.34","126.33","71.80M","-7.06%"
"09/12/2022","136.45","134.07","136.46","134.01","50.95M","2.39%"
"09/09/2022","133.27","130.81","133.61","130.81","49.11M","2.66%"
"09/08/2022","129.82","127.40","130.26","127.18","43.42M","0.26%"
"09/07/2022","129.48","125.96","129.74","125.43","47.75M","2.67%"
"09/06/2022","126.11","127.91","128.53","124.84","43.56M","-1.10%"
"09/02/2022","127.51","129.78","131.38","126.39","57.04M","-0.24%"
"09/01/2022","127.82","125.97","127.99","123.67","56.28M","0.83%"
"08/31/2022","126.77","129.36","130.55","126.76","52.64M","-1.52%"
"08/30/2022","128.73","131.25","132.07","126.85","48.48M","-0.82%"
"08/29/2022","129.79","129.90","131.95","128.77","48.10M","-0.73%"
"08/26/2022","130.75","136.55","137.83","130.50","53.32M","-4.76%"
"08/25/2022","137.28","135.26","137.42","134.28","37.50M","2.60%"
"08/24/2022","133.80","132.75","135.47","132.10","38.63M","0.13%"
"08/23/2022","133.62","133.41","134.99","132.95","36.25M","0.30%"
"08/22/2022","133.22","135.72","136.32","132.85","50.46M","-3.62%"
"08/19/2022","138.23","140.47","141.11","137.91","47.79M","-2.86%"
"08/18/2022","142.30","141.32","142.77","140.38","37.29M","0.14%"
"08/17/2022","142.10","142.69","143.38","140.78","47.91M","-1.85%"
"08/16/2022","144.78","143.90","146.57","142.00","58.80M","1.12%"
"08/15/2022","143.18","142.80","143.76","141.49","39.01M","-0.26%"
"08/12/2022","143.55","142.05","143.57","140.12","47.64M","2.07%"
"08/11/2022","140.64","143.86","144.49","139.76","44.68M","-1.44%"
"08/10/2022","142.69","142.90","144.60","141.01","54.36M","3.53%"
"08/09/2022","137.83","138.05","138.95","136.21","40.43M","-1.13%"
"08/08/2022","139.41","142.05","144.23","138.29","52.09M","-0.99%"
"08/05/2022","140.80","140.10","142.86","139.60","50.69M","-1.24%"
"08/04/2022","142.57","140.58","143.56","139.55","70.34M","2.19%"
"08/03/2022","139.52","136.21","140.49","136.05","71.83M","4.00%"
"08/02/2022","134.16","134.72","137.44","134.09","61.92M","-0.91%"
"08/01/2022","135.39","134.96","138.83","133.51","76.85M","0.33%"
"07/29/2022","134.95","134.90","137.65","132.41","148.89M","10.36%"
"07/28/2022","122.28","121.57","122.84","118.08","82.25M","1.08%"
"07/27/2022","120.97","117.31","121.90","117.16","61.58M","5.37%"
"07/26/2022","114.81","115.79","118.15","114.53","67.08M","-5.23%"
"07/25/2022","121.14","122.69","123.64","120.03","50.22M","-1.05%"
"07/22/2022","122.42","125.01","125.50","121.35","51.46M","-1.77%"
"07/21/2022","124.63","123.20","124.85","121.26","60.24M","1.52%"
"07/20/2022","122.77","118.61","123.47","118.32","71.27M","3.86%"
"07/19/2022","118.21","115.70","118.95","114.03","60.99M","3.91%"
"07/18/2022","113.76","115.00","117.24","113.15","59.12M","0.18%"
"07/15/2022","113.55","112.50","115.59","111.59","84.32M","2.64%"
"07/14/2022","110.63","110.24","111.18","107.58","51.16M","0.21%"
"07/13/2022","110.40","107.03","111.78","106.01","61.35M","1.08%"
"07/12/2022","109.22","112.16","113.23","108.34","54.28M","-2.26%"
"07/11/2022","111.75","114.08","114.30","110.87","53.54M","-3.28%"
"07/08/2022","115.54","114.60","116.58","113.69","45.72M","-0.68%"
"07/07/2022","116.33","113.85","116.99","113.49","57.87M","1.75%"
"07/06/2022","114.33","113.21","115.48","112.01","66.96M","0.73%"
"07/05/2022","113.50","107.60","114.08","106.32","76.68M","3.60%"
"07/01/2022","109.56","106.29","109.75","105.85","73.02M","3.15%"
"06/30/2022","106.21","108.11","108.18","102.52","97.68M","-2.49%"
"06/29/2022","108.92","107.38","110.99","106.91","66.38M","1.42%"
"06/28/2022","107.40","113.50","114.85","107.04","75.17M","-5.14%"
"06/27/2022","113.22","117.09","117.98","112.70","62.13M","-2.78%"
"06/24/2022","116.46","112.38","116.71","111.43","69.87M","3.58%"
"06/23/2022","112.44","110.39","113.00","107.93","64.35M","3.20%"
"06/22/2022","108.95","107.43","112.13","107.02","60.04M","0.25%"
"06/21/2022","108.68","108.20","111.63","103.56","70.90M","2.32%"
"06/17/2022","106.22","102.80","106.98","102.51","99.77M","2.47%"
"06/16/2022","103.66","104.47","104.58","102.01","82.19M","-3.72%"
"06/15/2022","107.67","103.86","109.06","103.53","85.01M","5.24%"
"06/14/2022","102.31","104.19","104.88","101.43","69.73M","-1.31%"
"06/13/2022","103.67","104.19","106.54","101.86","99.28M","-5.45%"
"06/10/2022","109.65","113.42","114.50","109.05","87.41M","-5.60%"
"06/09/2022","116.15","119.99","121.30","116.10","67.03M","-4.15%"
"06/08/2022","121.18","122.61","123.75","120.75","64.93M","-1.48%"
"06/07/2022","123.00","122.00","124.10","120.63","85.16M","-1.43%"
"06/06/2022","124.79","125.25","128.99","123.81","135.27M","1.99%"
"06/03/2022","122.35","124.20","124.40","121.05","97.60M","-2.52%"
"06/02/2022","125.51","121.68","125.61","120.05","100.56M","3.15%"
"06/01/2022","121.68","122.26","125.18","120.62","127.53M","1.22%"
"05/31/2022","120.21","116.28","121.99","115.67","144.63M","4.39%"
"05/27/2022","115.15","113.55","115.19","112.63","93.66M","3.66%"
"05/26/2022","111.08","107.97","112.67","107.45","93.00M","4.03%"
"05/25/2022","106.78","103.66","108.17","103.65","93.12M","2.57%"
"05/24/2022","104.10","104.03","105.40","101.26","102.93M","-3.22%"
"05/23/2022","107.56","108.46","108.82","103.95","107.80M","-0.03%"
"05/20/2022","107.59","109.57","109.90","105.01","99.50M","0.25%"
"05/19/2022","107.32","106.28","110.03","106.19","88.14M","0.20%"
"05/18/2022","107.11","111.44","112.85","106.25","108.38M","-7.16%"
"05/17/2022","115.37","113.28","115.80","111.28","76.45M","4.12%"
"05/16/2022","110.81","113.10","113.99","110.35","74.57M","-1.99%"
"05/13/2022","113.06","109.07","113.18","107.80","93.68M","5.73%"
"05/12/2022","106.93","102.75","110.78","102.41","132.03M","1.48%"
"05/11/2022","105.37","108.10","110.16","104.43","109.70M","-3.21%"
"05/10/2022","108.86","111.25","112.64","107.17","105.43M","0.06%"
"05/09/2022","108.79","111.31","114.00","107.96","128.12M","-5.21%"
"05/06/2022","114.77","114.85","119.05","113.08","124.26M","-1.41%"
"05/05/2022","116.41","123.00","123.50","115.07","144.39M","-7.56%"
"05/04/2022","125.93","123.60","126.00","119.18","110.75M","1.35%"
"05/03/2022","124.25","124.05","126.22","122.83","79.13M","-0.20%"
"05/02/2022","124.50","122.40","124.67","118.38","148.79M","0.18%"
"04/29/2022","124.28","129.85","130.76","121.62","272.66M","-14.05%"
"04/28/2022","144.60","142.18","145.94","140.30","117.32M","4.65%"
"04/27/2022","138.17","140.19","141.95","135.78","71.34M","-0.88%"
"04/26/2022","139.39","144.80","144.86","138.93","77.53M","-4.57%"
"04/25/2022","146.07","144.02","146.22","142.31","61.87M","1.19%"
"04/22/2022","144.35","148.25","149.62","143.70","73.08M","-2.66%"
"04/21/2022","148.30","154.71","156.74","147.59","63.97M","-3.70%"
"04/20/2022","154.00","157.60","157.60","153.60","59.63M","-2.61%"
"04/19/2022","158.12","152.03","158.65","151.55","54.93M","3.50%"
"04/18/2022","152.78","151.52","154.04","150.25","46.51M","0.71%"
"04/14/2022","151.71","155.39","155.90","151.47","51.60M","-2.46%"
"04/13/2022","155.54","150.02","156.03","149.60","53.39M","3.15%"
"04/12/2022","150.79","153.69","155.10","150.38","55.18M","-0.22%"
"04/11/2022","151.12","152.71","154.14","150.53","52.11M","-2.16%"
"04/08/2022","154.46","156.75","157.37","154.23","46.00M","-2.10%"
"04/07/2022","157.78","158.40","160.08","154.51","68.14M","-0.62%"
"04/06/2022","158.76","161.65","162.20","157.25","79.06M","-3.23%"
"04/05/2022","164.06","167.74","168.11","163.27","53.73M","-2.55%"
"04/04/2022","168.35","164.12","168.39","163.21","50.01M","2.93%"
"04/01/2022","163.56","164.15","165.83","162.32","57.09M","0.34%"
