"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2022","98.74","99.40","99.48","97.47","31.33M","-1.40%"
"09/22/2022","100.14","98.89","101.20","98.88","33.94M","0.87%"
"09/21/2022","99.28","101.61","102.82","99.28","30.81M","-1.84%"
"09/20/2022","101.14","102.08","102.37","100.53","26.38M","-1.87%"
"09/19/2022","103.07","101.79","103.32","101.59","22.87M","0.26%"
"09/16/2022","102.80","102.00","103.12","101.01","41.97M","-0.11%"
"09/15/2022","102.91","103.99","105.26","102.36","33.65M","-1.99%"
"09/14/2022","105.00","104.51","105.28","103.69","25.58M","0.65%"
"09/13/2022","104.32","107.67","108.21","104.10","37.94M","-5.90%"
"09/12/2022","110.86","111.03","111.60","109.93","22.88M","0.19%"
"09/09/2022","110.65","109.06","110.99","109.06","23.08M","2.09%"
"09/08/2022","108.38","108.04","109.59","107.18","24.12M","-0.98%"
"09/07/2022","109.45","106.97","109.98","106.97","23.01M","2.47%"
"09/06/2022","106.81","107.35","107.97","105.80","24.94M","-0.96%"
"09/02/2022","107.85","110.61","110.74","107.27","24.08M","-1.72%"
"09/01/2022","109.74","108.36","110.40","107.37","28.22M","1.40%"
"08/31/2022","108.22","110.67","110.80","108.20","27.96M","-0.66%"
"08/30/2022","108.94","110.17","110.50","107.80","22.36M","-0.44%"
"08/29/2022","109.42","109.99","110.95","108.80","21.19M","-0.83%"
"08/26/2022","110.34","114.72","115.12","110.19","37.25M","-5.41%"
"08/25/2022","116.65","114.24","116.72","114.11","16.96M","2.60%"
"08/24/2022","113.69","113.50","114.78","112.87","17.73M","-0.15%"
"08/23/2022","113.86","113.47","115.01","113.43","15.87M","-0.33%"
"08/22/2022","114.24","115.20","115.63","113.85","21.46M","-2.53%"
"08/19/2022","117.21","119.06","119.15","116.76","21.81M","-2.46%"
"08/18/2022","120.17","119.43","120.82","118.72","17.91M","0.52%"
"08/17/2022","119.55","120.12","121.29","119.38","22.75M","-1.77%"
"08/16/2022","121.70","121.52","122.43","120.64","19.02M","-0.31%"
"08/15/2022","122.08","121.13","122.30","120.61","19.49M","0.33%"
"08/12/2022","121.68","120.26","121.68","119.46","19.10M","2.39%"
"08/11/2022","118.84","121.28","121.49","118.56","24.21M","-0.72%"
"08/10/2022","119.70","118.78","120.92","118.41","30.80M","2.63%"
"08/09/2022","116.63","117.14","117.32","115.71","19.09M","-0.57%"
"08/08/2022","117.30","118.39","120.15","116.88","19.00M","-0.14%"
"08/05/2022","117.47","116.23","118.11","116.00","19.16M","-0.61%"
"08/04/2022","118.19","117.48","118.78","116.89","21.43M","0.09%"
"08/03/2022","118.08","115.71","118.62","115.48","28.50M","2.56%"
"08/02/2022","115.13","114.00","116.35","113.72","20.24M","0.24%"
"08/01/2022","114.86","115.30","116.72","114.34","26.03M","-1.26%"
"07/29/2022","116.32","113.08","116.70","113.06","37.22M","1.84%"
"07/28/2022","114.22","112.37","114.34","111.46","32.82M","1.03%"
"07/27/2022","113.06","109.26","113.91","108.01","59.86M","7.66%"
"07/26/2022","105.02","106.60","107.20","104.07","47.99M","-2.32%"
"07/25/2022","107.51","108.41","109.87","106.30","34.69M","-0.36%"
"07/22/2022","107.90","111.00","112.34","106.50","48.90M","-5.63%"
"07/21/2022","114.34","114.28","114.55","111.11","32.68M","0.39%"
"07/20/2022","113.90","113.17","115.40","112.48","35.60M","0.08%"
"07/19/2022","113.81","110.85","114.02","109.56","36.53M","4.38%"
"07/18/2022","109.03","112.64","113.68","108.37","43.16M","-2.46%"
"07/15/2022","111.78","112.00","113.14","110.90","46.77M","1.28%"
"07/14/2022","110.37","110.21","111.09","108.37","37.00M","-0.88%"
"07/13/2022","111.35","111.70","114.20","111.20","43.72M","-2.34%"
"07/12/2022","114.02","116.22","116.97","113.69","29.96M","-1.43%"
"07/11/2022","115.68","118.00","118.00","115.33","31.24M","-3.07%"
"07/08/2022","119.35","117.25","119.69","116.90","38.24M","0.48%"
"07/07/2022","118.78","115.08","119.19","114.83","40.94M","3.67%"
"07/06/2022","114.57","113.30","115.59","111.48","37.43M","1.16%"
"07/05/2022","113.26","107.10","113.38","105.73","39.40M","4.16%"
"07/01/2022","108.74","107.93","109.25","106.73","35.48M","-0.20%"
"06/30/2022","108.96","110.00","110.89","106.75","43.17M","-2.45%"
