"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2022","140.41","141.90","142.59","138.91","31.45M","-1.69%"
"09/22/2022","142.82","141.71","144.53","140.90","34.01M","0.49%"
"09/21/2022","142.12","146.39","149.60","142.00","38.01M","-2.72%"
"09/20/2022","146.09","145.77","148.84","145.22","23.13M","-1.30%"
"09/19/2022","148.02","145.24","148.58","145.10","22.17M","1.18%"
"09/16/2022","146.29","148.05","148.58","144.29","39.98M","-2.18%"
"09/15/2022","149.55","149.80","154.20","148.70","34.39M","-1.27%"
"09/14/2022","151.47","153.33","153.54","149.05","42.82M","-1.08%"
"09/13/2022","153.13","161.54","161.63","152.67","44.23M","-9.37%"
"09/12/2022","168.96","167.39","171.39","167.28","23.22M","-0.11%"
"09/09/2022","169.15","163.25","169.54","163.02","22.07M","4.37%"
"09/08/2022","162.06","158.71","162.23","157.74","22.26M","1.04%"
"09/07/2022","160.39","157.76","160.96","156.81","16.78M","1.17%"
"09/06/2022","158.54","160.10","161.69","157.69","19.28M","-1.11%"
"09/02/2022","160.32","167.45","167.93","159.22","22.63M","-3.05%"
"09/01/2022","165.36","163.58","167.36","160.35","30.15M","1.49%"
"08/31/2022","162.93","167.07","167.84","162.14","40.75M","3.67%"
"08/30/2022","157.16","160.35","161.66","155.91","19.42M","-1.26%"
"08/29/2022","159.17","160.65","163.05","159.01","20.05M","-1.61%"
"08/26/2022","161.78","168.48","170.92","161.67","24.02M","-4.15%"
"08/25/2022","168.78","165.18","168.88","164.02","15.46M","3.38%"
"08/24/2022","163.26","160.60","165.46","159.77","20.80M","1.33%"
"08/23/2022","161.11","162.48","165.05","160.70","18.11M","-1.19%"
"08/22/2022","163.05","165.49","165.49","162.26","19.50M","-2.92%"
"08/19/2022","167.96","170.20","172.32","167.05","26.24M","-3.84%"
"08/18/2022","174.66","174.34","175.76","171.86","18.76M","-0.11%"
"08/17/2022","174.85","176.76","178.14","174.17","20.12M","-2.57%"
"08/16/2022","179.47","179.44","180.99","177.04","21.16M","-0.79%"
"08/15/2022","180.89","178.96","181.44","178.20","15.88M","0.22%"
"08/12/2022","180.50","180.81","181.46","178.91","21.16M","1.70%"
"08/11/2022","177.49","179.71","183.10","176.37","23.99M","-0.48%"
"08/10/2022","178.34","175.99","180.48","173.95","30.08M","5.82%"
"08/09/2022","168.53","168.95","169.53","166.60","18.66M","-1.01%"
"08/08/2022","170.25","168.00","177.51","167.13","27.22M","1.88%"
"08/05/2022","167.11","166.99","171.61","165.80","25.77M","-2.03%"
"08/04/2022","170.57","168.29","172.15","166.80","23.79M","1.05%"
"08/03/2022","168.80","162.69","169.54","161.57","31.72M","5.37%"
"08/02/2022","160.19","158.31","162.24","158.01","27.37M","0.16%"
"08/01/2022","159.93","157.25","165.19","155.23","40.60M","0.52%"
"07/29/2022","159.10","157.69","160.14","155.17","41.91M","-1.01%"
"07/28/2022","160.72","161.06","161.51","154.85","72.59M","-5.22%"
"07/27/2022","169.58","162.59","170.87","162.02","39.18M","6.55%"
"07/26/2022","159.15","165.94","166.00","157.95","26.57M","-4.50%"
"07/25/2022","166.65","169.00","170.57","164.80","26.17M","-1.55%"
"07/22/2022","169.27","173.07","175.60","168.41","41.93M","-7.59%"
"07/21/2022","183.17","180.63","183.85","178.87","26.09M","0.04%"
"07/20/2022","183.09","177.49","183.60","176.70","24.52M","4.16%"
"07/19/2022","175.78","170.37","176.49","169.51","25.76M","5.11%"
"07/18/2022","167.23","166.75","171.68","165.64","23.57M","1.54%"
"07/15/2022","164.70","160.54","164.98","159.82","22.49M","4.21%"
"07/14/2022","158.05","161.22","162.59","157.28","23.52M","-3.33%"
"07/13/2022","163.49","160.16","164.98","159.61","16.51M","0.13%"
"07/12/2022","163.27","164.80","165.91","162.10","16.58M","0.24%"
"07/11/2022","162.88","167.07","167.49","161.91","21.91M","-4.68%"
"07/08/2022","170.88","169.98","172.40","168.15","19.16M","-0.76%"
"07/07/2022","172.19","169.45","172.72","167.78","23.89M","1.43%"
"07/06/2022","169.77","168.20","171.59","165.46","23.04M","0.94%"
"07/05/2022","168.19","158.14","168.25","157.02","28.55M","5.10%"
"07/01/2022","160.03","160.31","160.62","155.00","31.42M","-0.76%"
"06/30/2022","161.25","162.15","165.23","158.49","34.98M","-1.64%"
"06/29/2022","163.94","163.57","166.33","160.32","28.53M","2.03%"
"06/28/2022","160.68","169.90","171.30","160.61","27.67M","-5.20%"
"06/27/2022","169.49","171.32","171.75","168.01","29.17M","-0.39%"
"06/24/2022","170.16","161.73","170.25","161.30","61.35M","7.19%"
"06/23/2022","158.75","156.27","159.75","154.25","40.34M","1.86%"
"06/22/2022","155.85","158.38","160.79","155.44","47.06M","-0.76%"
"06/21/2022","157.05","165.93","167.76","155.97","50.48M","-4.09%"
"06/17/2022","163.74","161.68","165.90","159.90","31.37M","1.78%"
"06/16/2022","160.87","163.72","165.08","159.61","26.63M","-5.01%"
"06/15/2022","169.35","167.20","172.16","163.98","29.81M","3.43%"
"06/14/2022","163.73","166.03","166.75","161.36","26.77M","-0.32%"
"06/13/2022","164.26","170.59","172.57","164.03","31.56M","-6.44%"
"06/10/2022","175.57","183.04","183.10","175.02","25.51M","-4.58%"
"06/09/2022","184.00","194.28","199.45","183.68","23.30M","-6.43%"
"06/08/2022","196.64","194.67","202.03","194.41","22.27M","0.51%"
"06/07/2022","195.65","191.93","196.53","191.49","18.76M","0.72%"
"06/06/2022","194.25","193.99","196.92","188.40","30.57M","1.82%"
