Date,NDX_price,AMZN_price,GOOGL_price,META_price,AAPL_price
09/23/2022,11311.24,113.78,98.74,140.41,150.43
09/22/2022,11501.65,117.31,100.14,142.82,152.74
09/21/2022,11637.79,118.54,99.28,142.12,153.72
09/20/2022,11851.54,122.19,101.14,146.09,156.9
09/19/2022,11953.28,124.66,103.07,148.02,154.48
09/16/2022,11861.38,123.58,102.8,146.29,150.7
09/15/2022,11927.49,126.28,102.91,149.55,152.37
09/14/2022,12134.4,128.63,105.0,151.47,155.43
09/13/2022,12033.62,126.82,104.32,153.13,153.84
09/12/2022,12739.72,136.45,110.86,168.96,163.43
09/09/2022,12588.29,133.27,110.65,169.15,157.37
09/08/2022,12321.19,129.82,108.38,162.06,154.45
09/07/2022,12259.39,129.48,109.45,160.39,155.96
09/06/2022,12011.31,126.11,106.81,158.54,154.53
09/02/2022,12098.44,127.51,107.85,160.32,155.81
09/01/2022,12274.63,127.82,109.74,165.36,157.96
08/31/2022,12272.03,126.77,108.22,162.93,157.22
08/30/2022,12342.7,128.73,108.94,157.16,158.91
08/29/2022,12484.32,129.79,109.42,159.17,161.38
08/26/2022,12605.17,130.75,110.34,161.78,163.62
08/25/2022,13143.58,137.28,116.65,168.78,170.03
08/24/2022,12917.86,133.8,113.69,163.26,167.53
08/23/2022,12881.79,133.62,113.86,161.11,167.23
08/22/2022,12890.54,133.22,114.24,163.05,167.57
08/19/2022,13242.9,138.23,117.21,167.96,171.52
08/18/2022,13505.99,142.3,120.17,174.66,174.15
08/17/2022,13470.86,142.1,119.55,174.85,174.55
08/16/2022,13635.21,144.78,121.7,179.47,173.03
08/15/2022,13667.18,143.18,122.08,180.89,173.19
08/12/2022,13565.87,143.55,121.68,180.5,172.1
08/11/2022,13291.99,140.64,118.84,177.49,168.49
08/10/2022,13378.32,142.69,119.7,178.34,169.24
08/09/2022,13008.17,137.83,116.63,168.53,164.92
08/08/2022,13159.16,139.41,117.3,170.25,164.87
08/05/2022,13207.69,140.8,117.47,167.11,165.35
08/04/2022,13311.04,142.57,118.19,170.57,165.81
08/03/2022,13253.26,139.52,118.08,168.8,166.13
08/02/2022,12901.6,134.16,115.13,160.19,160.01
08/01/2022,12940.78,135.39,114.86,159.93,161.51
07/29/2022,12947.97,134.95,116.32,159.1,162.51
07/28/2022,12717.87,122.28,114.22,160.72,157.35
07/27/2022,12601.47,120.97,113.06,169.58,156.79
07/26/2022,12086.9,114.81,105.02,159.15,151.6
07/25/2022,12328.41,121.14,107.51,166.65,152.95
07/22/2022,12396.47,122.42,107.9,169.27,154.09
07/21/2022,12619.41,124.63,114.34,183.17,155.35
07/20/2022,12439.68,122.77,113.9,183.09,153.04
07/19/2022,12249.42,118.21,113.81,175.78,151.0
07/18/2022,11877.5,113.76,109.03,167.23,147.07
07/15/2022,11983.62,113.55,111.78,164.7,150.17
07/14/2022,11768.39,110.63,110.37,158.05,148.47
07/13/2022,11728.53,110.4,111.35,163.49,145.49
07/12/2022,11744.99,109.22,114.02,163.27,145.86
07/11/2022,11860.28,111.75,115.68,162.88,144.87
07/08/2022,12125.69,115.54,119.35,170.88,147.04
07/07/2022,12109.05,116.33,118.78,172.19,146.35
07/06/2022,11852.59,114.33,114.57,169.77,142.92
07/05/2022,11779.91,113.5,113.26,168.19,141.56
07/01/2022,11585.68,109.56,108.74,160.03,138.93
06/30/2022,11503.72,106.21,108.96,161.25,136.72
06/29/2022,11658.26,108.92,111.7,163.94,139.23
06/28/2022,11637.77,107.4,112.01,160.68,137.44
06/27/2022,11987.36,113.22,115.83,169.49,141.66
06/24/2022,12105.85,116.46,117.97,170.16,141.66
06/23/2022,11697.68,112.44,112.24,158.75,138.27
06/22/2022,11527.71,108.95,111.49,155.85,135.35
06/21/2022,11546.76,108.68,111.54,157.05,135.87
06/17/2022,11265.99,106.22,107.14,163.74,131.56
06/16/2022,11127.57,103.66,106.03,160.87,130.06
06/15/2022,11593.77,107.67,109.76,169.35,135.43
06/14/2022,11311.69,102.31,106.72,163.73,132.76
06/13/2022,11288.32,103.67,106.39,164.26,131.88
06/10/2022,11832.82,109.65,111.16,175.57,137.13
06/09/2022,12269.78,116.15,114.84,184.0,142.64
06/08/2022,12615.13,121.18,117.19,196.64,147.96
06/07/2022,12711.67,123.0,117.15,195.65,148.71
