MONTH,STATE,GENERATION(Mwh)
1,AK,516962.0
1,AL,12437071.0
1,AR,5219341.0
1,AZ,8689647.0
1,CA,13501478.0
1,CO,4848930.0
1,CT,3652864.0
1,DC,18510.0
1,DE,113398.0
1,FL,18106650.0
1,GA,10419599.0
1,HI,757304.0
1,IA,5518491.0
1,ID,1596907.0
1,IL,16076958.0
1,IN,8955451.0
1,KS,4709056.0
1,KY,6389250.0
1,LA,7872511.0
1,MA,2030333.0
1,MD,3254950.0
1,ME,953826.0
1,MI,10493566.0
1,MN,4887674.0
1,MO,6849268.0
1,MS,6841518.0
1,MT,2563159.0
1,NC,11797316.0
1,ND,3862790.0
1,NE,3145812.0
1,NH,1503504.0
1,NJ,4595077.0
1,NM,3138140.0
1,NV,3038470.0
1,NY,10862125.0
1,OH,10970553.0
1,OK,7003517.0
1,OR,5882514.0
1,PA,22387325.0
1,RI,579371.0
1,SC,8991672.0
1,SD,1500566.0
1,TN,7261576.0
1,TX,38597145.0
1,US-TOTAL,350795813.0
1,UT,3168109.0
1,VA,8088326.0
1,VT,170682.0
1,WA,10851891.0
1,WI,5875403.0
1,WV,6402024.0
1,WY,3847233.0
2,AK,484039.0
2,AL,11205731.0
2,AR,4482798.0
2,AZ,6918909.0
2,CA,12302875.0
2,CO,4568777.0
2,CT,3507148.0
2,DC,16804.0
2,DE,222933.0
2,FL,17286916.0
2,GA,9952129.0
2,HI,656459.0
2,IA,5101557.0
2,ID,1462670.0
2,IL,14948150.0
2,IN,9689686.0
2,KS,4271902.0
2,KY,6422650.0
2,LA,7399319.0
2,MA,1822513.0
2,MD,3378154.0
2,ME,919161.0
2,MI,10149998.0
2,MN,5273602.0
2,MO,6615039.0
2,MS,5611210.0
2,MT,2067389.0
2,NC,10767667.0
2,ND,3556004.0
2,NE,2999369.0
2,NH,1544516.0
2,NJ,4545201.0
2,NM,2389570.0
2,NV,2718189.0
2,NY,9637406.0
2,OH,10270243.0
2,OK,6052609.0
2,OR,5507195.0
2,PA,21054904.0
2,RI,505337.0
2,SC,8356799.0
2,SD,1406186.0
2,TN,7262652.0
2,TX,34553779.0
2,US-TOTAL,326223389.0
2,UT,3256626.0
2,VA,7817139.0
2,VT,163548.0
2,WA,9398978.0
2,WI,5605711.0
2,WV,6656971.0
2,WY,3458272.0
3,AK,455932.0
3,AL,10460787.0
3,AR,4561694.0
3,AZ,7981800.0
3,CA,14286088.0
3,CO,4669512.0
3,CT,3738943.0
3,DC,18290.0
3,DE,226092.0
3,FL,18383911.0
3,GA,8636468.0
3,HI,736485.0
3,IA,5389102.0
3,ID,1404034.0
3,IL,13382765.0
3,IN,6942999.0
3,KS,4965709.0
3,KY,5131243.0
3,LA,6717683.0
3,MA,1349996.0
3,MD,2805982.0
3,ME,976106.0
3,MI,9505376.0
3,MN,4442237.0
3,MO,5385210.0
3,MS,4584314.0
3,MT,2153830.0
3,NC,9661793.0
3,ND,3699351.0
3,NE,2581582.0
3,NH,1367643.0
3,NJ,4513833.0
3,NM,2667023.0
3,NV,3046214.0
3,NY,9977465.0
3,OH,10088727.0
3,OK,6351376.0
3,OR,5382854.0
3,PA,19311763.0
3,RI,601653.0
3,SC,7791199.0
3,SD,1494803.0
3,TN,6890246.0
3,TX,33939509.0
3,US-TOTAL,312284621.0
3,UT,3140412.0
3,VA,7925981.0
3,VT,228195.0
3,WA,8795660.0
3,WI,5384496.0
3,WV,4533808.0
3,WY,3616446.0
4,AK,418125.0
4,AL,9070791.0
4,AR,3792933.0
4,AZ,8044688.0
4,CA,14769968.0
4,CO,4279299.0
4,CT,3214657.0
4,DC,13034.0
4,DE,201068.0
4,FL,18559241.0
4,GA,9491086.0
4,HI,707736.0
4,IA,5186013.0
4,ID,1138586.0
4,IL,13213966.0
4,IN,6260578.0
4,KS,3977917.0
4,KY,5027893.0
4,LA,6973411.0
4,MA,1067242.0
4,MD,3032541.0
4,ME,789774.0
4,MI,8005531.0
4,MN,4008361.0
4,MO,5007319.0
4,MS,5250313.0
4,MT,1452107.0
4,NC,9084334.0
4,ND,3216452.0
4,NE,2649137.0
4,NH,1336591.0
4,NJ,4354739.0
4,NM,2352372.0
4,NV,3193979.0
4,NY,8906133.0
4,OH,8148727.0
4,OK,5931632.0
4,OR,4688397.0
4,PA,16304237.0
4,RI,328291.0
4,SC,7326029.0
4,SD,1461322.0
4,TN,5823772.0
4,TX,34948733.0
4,US-TOTAL,292503539.0
4,UT,2691287.0
4,VA,6858530.0
4,VT,176735.0
4,WA,7619336.0
4,WI,4873008.0
4,WV,4132805.0
4,WY,3142781.0
5,AK,411978.0
5,AL,11236484.0
5,AR,3999507.0
5,AZ,8851834.0
5,CA,16306001.0
5,CO,4214582.0
5,CT,3481474.0
5,DC,19053.0
5,DE,261192.0
5,FL,21703328.0
5,GA,10396751.0
5,HI,768042.0
5,IA,5040473.0
5,ID,1449455.0
5,IL,14946614.0
5,IN,6954828.0
5,KS,4358686.0
5,KY,5672897.0
5,LA,7782021.0
5,MA,1163695.0
5,MD,2973651.0
5,ME,836400.0
5,MI,7680195.0
5,MN,3806760.0
5,MO,5359853.0
5,MS,5447796.0
5,MT,1725658.0
5,NC,9878869.0
5,ND,3092296.0
5,NE,2866588.0
5,NH,1474352.0
5,NJ,4321683.0
5,NM,2688732.0
5,NV,3290100.0
5,NY,9532686.0
5,OH,8505274.0
5,OK,6008843.0
5,OR,4281163.0
5,PA,18150371.0
5,RI,509811.0
5,SC,8489479.0
5,SD,1473426.0
5,TN,6422444.0
5,TX,39422061.0
5,US-TOTAL,318858513.0
5,UT,3246822.0
5,VA,6160228.0
5,VT,178476.0
5,WA,8362897.0
5,WI,5103977.0
5,WV,5318117.0
5,WY,3230608.0
6,AK,531321.0
6,AL,12169896.0
6,AR,5764195.0
6,AZ,10663748.0
6,CA,18463000.0
6,CO,5034249.0
6,CT,3726065.0
6,DC,21155.0
6,DE,469354.0
6,FL,22633606.0
6,GA,12166686.0
6,HI,777545.0
6,IA,5732026.0
6,ID,1603708.0
6,IL,15858483.0
6,IN,8713097.0
6,KS,4940542.0
6,KY,6627472.0
6,LA,8779524.0
6,MA,2031454.0
6,MD,3298037.0
6,ME,887200.0
6,MI,10027019.0
6,MN,5232700.0
6,MO,6775692.0
6,MS,6244269.0
6,MT,1910224.0
6,NC,11749564.0
6,ND,3165982.0
6,NE,3543702.0
6,NH,1644130.0
6,NJ,5579223.0
6,NM,3347948.0
6,NV,4290723.0
6,NY,11211598.0
6,OH,10077657.0
6,OK,7003295.0
6,OR,4953603.0
6,PA,21462904.0
6,RI,743745.0
6,SC,9010405.0
6,SD,1574686.0
6,TN,7697420.0
6,TX,46151735.0
6,US-TOTAL,373754405.0
6,UT,4111047.0
6,VA,8658369.0
6,VT,179022.0
6,WA,9841143.0
6,WI,6154105.0
6,WV,6865796.0
6,WY,3654339.0
7,AK,560241.0
7,AL,13641306.0
7,AR,6473704.0
7,AZ,11713549.0
7,CA,21903460.0
7,CO,5595931.0
7,CT,4053643.0
7,DC,22003.0
7,DE,568661.0
7,FL,24505463.0
7,GA,12597808.0
7,HI,810181.0
7,IA,5721159.0
7,ID,1454767.0
7,IL,16763648.0
7,IN,9542500.0
7,KS,5378267.0
7,KY,7155449.0
7,LA,10019341.0
7,MA,2014601.0
7,MD,3895621.0
7,ME,834567.0
7,MI,10404737.0
7,MN,5919769.0
7,MO,7245563.0
7,MS,6837682.0
7,MT,2083090.0
7,NC,13186228.0
7,ND,3736044.0
7,NE,3887504.0
7,NH,1719988.0
7,NJ,6299275.0
7,NM,3052352.0
