,STATE,TYPE OF PRODUCER,GENERATION(Mwh)
0,AK,"Combined Heat and Power, Commercial Power",350962.0
1,AK,"Combined Heat and Power, Electric Power",199567.0
2,AK,"Combined Heat and Power, Industrial Power",111166.0
3,AK,"Electric Generators, Electric Utilities",5229885.0
4,AK,"Electric Generators, Independent Power Producers",51947.0
5,AL,"Combined Heat and Power, Electric Power",4031284.0
6,AL,"Combined Heat and Power, Industrial Power",4640626.0
7,AL,"Electric Generators, Electric Utilities",107332202.0
8,AL,"Electric Generators, Independent Power Producers",26951021.0
9,AR,"Combined Heat and Power, Commercial Power",62136.0
10,AR,"Combined Heat and Power, Electric Power",1023489.0
11,AR,"Combined Heat and Power, Industrial Power",1196173.0
12,AR,"Electric Generators, Electric Utilities",53337372.0
13,AR,"Electric Generators, Independent Power Producers",4610967.0
14,AZ,"Combined Heat and Power, Commercial Power",154108.0
15,AZ,"Combined Heat and Power, Electric Power",52607.0
16,AZ,"Electric Generators, Electric Utilities",86348455.0
17,AZ,"Electric Generators, Independent Power Producers",22053365.0
18,CA,"Combined Heat and Power, Commercial Power",2400830.0
19,CA,"Combined Heat and Power, Electric Power",12417290.0
20,CA,"Combined Heat and Power, Industrial Power",13513448.0
21,CA,"Electric Generators, Electric Utilities",61737283.0
22,CA,"Electric Generators, Independent Power Producers",106658255.0
23,CO,"Combined Heat and Power, Commercial Power",36299.0
24,CO,"Combined Heat and Power, Electric Power",36629.0
25,CO,"Combined Heat and Power, Industrial Power",256188.0
26,CO,"Electric Generators, Electric Utilities",41364397.0
27,CO,"Electric Generators, Independent Power Producers",15044204.0
28,CT,"Combined Heat and Power, Commercial Power",316117.0
29,CT,"Combined Heat and Power, Electric Power",123788.0
30,CT,"Combined Heat and Power, Industrial Power",612115.0
31,CT,"Electric Generators, Electric Utilities",94322.0
32,CT,"Electric Generators, Independent Power Producers",42977227.0
33,DC,"Combined Heat and Power, Commercial Power",192256.0
34,DC,"Electric Generators, Independent Power Producers",25982.0
35,DE,"Combined Heat and Power, Commercial Power",5393.0
36,DE,"Combined Heat and Power, Electric Power",120682.0
37,DE,"Combined Heat and Power, Industrial Power",911931.0
38,DE,"Electric Generators, Electric Utilities",27602.0
39,DE,"Electric Generators, Independent Power Producers",2974363.0
40,FL,"Combined Heat and Power, Commercial Power",94938.0
41,FL,"Combined Heat and Power, Electric Power",1687471.0
42,FL,"Combined Heat and Power, Industrial Power",4627609.0
43,FL,"Electric Generators, Electric Utilities",227993630.0
44,FL,"Electric Generators, Independent Power Producers",9997385.0
45,GA,"Combined Heat and Power, Commercial Power",4711.0
46,GA,"Combined Heat and Power, Electric Power",527596.0
47,GA,"Combined Heat and Power, Industrial Power",5095129.0
48,GA,"Electric Generators, Electric Utilities",102646392.0
49,GA,"Electric Generators, Independent Power Producers",18256917.0
50,HI,"Combined Heat and Power, Commercial Power",364607.0
51,HI,"Combined Heat and Power, Electric Power",2294287.0
52,HI,"Combined Heat and Power, Industrial Power",221674.0
53,HI,"Electric Generators, Electric Utilities",4721460.0
54,HI,"Electric Generators, Independent Power Producers",1586065.0
55,IA,"Combined Heat and Power, Commercial Power",142153.0
56,IA,"Combined Heat and Power, Electric Power",4065.0
57,IA,"Combined Heat and Power, Industrial Power",2065820.0
58,IA,"Electric Generators, Electric Utilities",54854479.0
59,IA,"Electric Generators, Independent Power Producers",9053749.0
60,ID,"Combined Heat and Power, Commercial Power",68356.0
61,ID,"Combined Heat and Power, Electric Power",67389.0
62,ID,"Combined Heat and Power, Industrial Power",549112.0
63,ID,"Electric Generators, Electric Utilities",10963688.0
64,ID,"Electric Generators, Independent Power Producers",5300045.0
65,IL,"Combined Heat and Power, Commercial Power",479423.0
66,IL,"Combined Heat and Power, Electric Power",678169.0
67,IL,"Combined Heat and Power, Industrial Power",2604843.0
68,IL,"Electric Generators, Electric Utilities",4449699.0
69,IL,"Electric Generators, Independent Power Producers",173647234.0
70,IN,"Combined Heat and Power, Commercial Power",252338.0
71,IN,"Combined Heat and Power, Electric Power",7702676.0
72,IN,"Combined Heat and Power, Industrial Power",4635236.0
73,IN,"Electric Generators, Electric Utilities",60991576.0
74,IN,"Electric Generators, Independent Power Producers",20983341.0
75,KS,"Combined Heat and Power, Commercial Power",14183.0
76,KS,"Combined Heat and Power, Industrial Power",227115.0
77,KS,"Electric Generators, Electric Utilities",33280052.0
78,KS,"Electric Generators, Independent Power Producers",23224603.0
79,KY,"Combined Heat and Power, Industrial Power",488379.0
80,KY,"Electric Generators, Electric Utilities",69475329.0
81,KY,"Electric Generators, Independent Power Producers",590555.0
82,LA,"Combined Heat and Power, Commercial Power",178332.0
83,LA,"Combined Heat and Power, Electric Power",2744341.0
84,LA,"Combined Heat and Power, Industrial Power",27210836.0
85,LA,"Electric Generators, Electric Utilities",63497633.0
86,LA,"Electric Generators, Independent Power Producers",4430822.0
87,MA,"Combined Heat and Power, Commercial Power",615109.0
88,MA,"Combined Heat and Power, Electric Power",1545819.0
89,MA,"Combined Heat and Power, Industrial Power",205260.0
90,MA,"Electric Generators, Electric Utilities",475936.0
